ElapsedTime(s),FaultActive,Delay(s),X,Y,Z,Status
2.84,False,0.00,-0.00,-0.00,-10.11,COLLISION
7.26,False,0.00,10.18,0.00,-10.47,OK
14.19,True,1.99,10.16,10.14,-10.50,OK
21.37,True,2.13,-0.16,10.15,-10.50,OK
25.22,False,0.00,-10.18,9.95,-10.46,OK
29.93,False,0.00,-9.97,-0.13,-10.47,OK
35.15,False,0.00,0.17,-10.08,-10.46,OK
