ElapsedTime(s),FaultActive,Delay(s),X,Y,Z,Status
4.44,False,0.00,-0.02,0.17,-9.99,COLLISION
10.13,True,1.66,10.13,0.09,-10.50,OK
14.92,False,0.00,9.99,10.15,-10.46,OK
21.81,True,1.92,-0.19,10.15,-10.51,OK
25.67,False,0.00,-10.19,9.95,-10.45,OK
30.38,False,0.00,-9.98,-0.12,-10.45,OK
35.60,False,0.00,0.14,-10.06,-10.48,OK
